H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5126
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:42:35
H,SpiderTimeZone,+1
H,SpiderUpTime,131
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
L,REG407,53.10,0.08
L,REG405,53.20,-0.08
L,REG407,53.20,0.00
L,REG405,53.30,0.20
L,REG403,53.40,21.92
L,REG407,53.40,0.04
L,REG403,53.50,22.96
L,REG405,53.50,-0.08
L,REG407,53.50,0.00
L,REG403,53.60,21.92
L,REG405,53.60,0.20
L,REG403,53.80,22.96
L,REG403,53.90,21.92
L,REG403,54.10,22.96
L,REG405,54.10,-0.08
L,REG403,54.20,21.92
L,REG405,54.30,0.20
L,REG403,54.40,22.96
L,REG407,54.40,0.04
L,REG403,54.50,21.92
L,REG407,54.50,0.12
L,REG405,54.60,-0.08
L,REG407,54.60,0.04
L,REG403,54.70,22.96
L,REG405,54.70,0.20
L,REG407,54.70,0.00
L,REG403,54.80,21.92
L,REG403,55.00,22.96
L,REG403,55.10,21.92
L,REG403,55.20,22.96
L,REG405,55.20,-0.08
L,REG403,55.30,21.92
L,REG405,55.30,0.20
L,REG407,55.30,0.08
L,REG407,55.40,0.00
L,REG405,55.50,-0.08
L,REG403,55.60,22.96
L,REG403,55.70,21.92
L,REG403,55.80,22.96
L,REG405,55.80,0.20
L,REG407,55.80,0.04
L,REG403,55.90,21.92
L,REG407,55.90,0.00
L,REG403,56.10,22.96
L,REG405,56.10,-0.08
L,REG403,56.20,21.92
L,REG405,56.30,0.20
L,REG407,56.30,0.12
L,REG405,56.40,-0.08
L,REG407,56.40,0.08
L,REG405,56.50,0.20
L,REG407,56.50,0.04
L,REG403,56.60,22.96
L,REG407,56.60,0.08
L,REG407,56.70,0.12
